ad_id,area,area_sqm,building_type,category,city,currency,detail_url,district,floor,floor_numeric,image_count,listing_date,listing_date_raw,listing_type,location_full,ownership_document,price,price_per_sqm,price_text,property_type,rooms,rooms_numeric,scraped_at,seller_category,seller_type,short_description,source_page,title,total_floors,total_floors_numeric,transaction_type
165257,,,,"Həyət evləri, Villa",Bakı,AZN,https://qarabazar.az/Kredit-ile-Bileceride-3-otaqli-heyet-evi-adv165257.html,Biləcəri,,,8,2025-07-15,15 iyul 2025,,Bakı♦Biləcəri,Yoxdur,30000,,30 000 azn,house,3 otaq,3,2026-01-01T14:16:48.459480,agent,Vasitəçi(makler),"Kredit: Biləcəridə DYP yolunda 1.5 sotda 3 otaq, S/Q və m�...",24,Kredit ilə Biləcəridə 3 otaqlı həyət evi,,,other
165256,,,,"Həyət evləri, Villa",Bakı,AZN,https://qarabazar.az/Kredit-ile-Bileceride-3-otaqli-heyet-evi-adv165256.html,Biləcəri,,,8,2025-07-15,15 iyul 2025,,Bakı♦Biləcəri,Yoxdur,30000,,30 000 azn,house,3 otaq,3,2026-01-01T14:16:48.460826,agent,Vasitəçi(makler),"Kredit: Biləcəridə DYP yolunda 1.5 sotda 3 otaq, S/Q və m�...",24,Kredit ilə Biləcəridə 3 otaqlı həyət evi,,,other
165255,,,,"Həyət evləri, Villa",Bakı,AZN,https://qarabazar.az/Kredit-ile-Bileceride-3-otaqli-heyet-evi-adv165255.html,Biləcəri,,,10,2025-07-15,15 iyul 2025,,Bakı♦Biləcəri,Yoxdur,78000,,78 000 azn,house,3 otaq,3,2026-01-01T14:16:48.462229,agent,Vasitəçi(makler),"KREDİT: Biləcəridə 41-in yolunda 1.5 sotda 3 otaq, S/Q və ...",24,Kredit ilə Biləcəridə 3 otaqlı həyət evi,,,other
165250,120,120.0,,Yeni tikili binalar,Bakı,AZN,https://qarabazar.az/Yeni-Yasamalda-3-otaqli-menzil-satilir-adv165250.html,metro İnşaatçılar,9,9,15,2025-07-15,15 iyul 2025,,Bakı♦metro İnşaatçılar,Var,220000,1833.33,220 000 azn,apartment,3 otaq,3,2026-01-01T14:16:48.463503,agent,Vasitəçi(makler),"- Təcili  Satılır. -220.000 AzN
- Yeni Yasamalda 3 otaql...",24,Yeni Yasamalda 3 otaqlı mənzil satılır,18,18,other
165225,1200,1200.0,Ayrıca tikili,Satilan obyektler,Bakı,AZN,https://qarabazar.az/Fermer-teserrufati-satilir-adv165225.html,Bahar,,,9,2025-07-13,13 iyul 2025,,Bakı♦Bahar,,150000,125.0,150 000 azn,commercial,,,2026-01-01T14:16:48.464898,owner,ƏMLAK sahibi,"TƏCİLİ SAHIBINDEN FERMER TƏSƏRRÜFATI SATILIR. 
Suraxani r...",24,Fermer təsərrüfatı satılır,,,sale
165215,,,,"Həyət evləri, Villa",Bakı,AZN,https://qarabazar.az/Kredit-ile-Bileceride-3-otaqli-heyet-evi-adv165215.html,Biləcəri,,,7,2025-07-12,12 iyul 2025,,Bakı♦Biləcəri,Yoxdur,20000,,20 000 azn,house,3 otaq,3,2026-01-01T14:16:48.466073,agent,Vasitəçi(makler),"KREDİT... Biləcəridə DYP yolunda 1 sotda 3 otaq, S/Q və m�...",24,Kredit ilə Biləcəridə 3 otaqlı həyət evi,,,other
165201,4.5,4.5,,Torpaq sahələri,Bakı,AZN,https://qarabazar.az/4-5sot-Torpaq-sahesi-satilir-adv165201.html,Sulutəpə,,,7,2025-07-12,12 iyul 2025,,Bakı♦Sulutəpə,Var,23000,5111.11,23 000 azn,land,,,2026-01-01T14:16:48.467363,owner,ƏMLAK sahibi,"Sulutepede Ruslan Allahverdiyev küçesi, 313 nömreli mekteb...",24,4.5sot Torpaq sahesi satılır,,,other
165192,85,85.0,,Köhnə tikili,Bakı,AZN,https://qarabazar.az/3-Otagli-Menzil-satilir-Super-temirli-adv165192.html,Yeni Yasamal,9,9,13,2025-07-12,12 iyul 2025,,Bakı♦Yeni Yasamal,Var,175000,2058.82,175 000 azn,apartment,3 otaq,3,2026-01-01T14:16:48.468563,agent,Vasitəçi(makler),Menzilden heç bir EŞYA çıxarılmır. Yeni yasamal abad mehle...,24,3 Otagli Menzil satilir Super temirli,9,9,other
165189,550,550.0,Ayrıca tikili,Kiraye / icare obyektler,Bakı,AZN,https://qarabazar.az/Bileceride-550-kv-anbar-icareye-verilir-adv165189.html,Balaxanı,,,5,2025-07-11,11 iyul 2025,,Bakı♦Balaxanı,,2400,4.36,2 400 azn,commercial,,,2026-01-01T14:16:48.469870,agent,Vasitəçi(makler),"VASITECIYEM XIDMET HAQQI 20%TESKIL EDIR.
Sabuncu rayonu B...",24,Bileceride 550 kv anbar icareye verilir,,,rent
165177,16,16.0,Ayrıca tikili,Kiraye / icare obyektler,Abşeron r.,AZN,https://qarabazar.az/Obyekt-icareye-verilir-Xirdalan-adv165177.html,Xırdalan,,,4,2025-07-11,11 iyul 2025,,Abşeron r.♦Xırdalan,,350,21.88,350 azn,commercial,,,2026-01-01T14:16:48.470993,agent,Vasitəçi(makler),Xirdalan seheri Aaaf park yasayis kompleksinde gedis gelis...,24,Obyekt icareye verilir Xırdalan,,,rent
165169,60,60.0,,Köhnə tikili bina evləri,Bakı,AZN,https://qarabazar.az/2-otaqli-temirli-ve-esyali-adv165169.html,metro Xalqlar dostluğu,4,4,8,2025-07-11,11 iyul 2025,Kiraye ev verirem,Bakı♦metro Xalqlar dostluğu,,600,10.0,600 azn,apartment,2 otaq,2,2026-01-01T14:16:48.472116,owner,ƏMLAK sahibi,Xalqlar Dostluğu metrosunun tam yanında yerləşən kiyev pro...,24,2 otaqlı təmirli və əşyalı,9,9,other
165166,50,50.0,Bina altı,Kiraye / icare obyektler,Bakı,AZN,https://qarabazar.az/elmlerde-50kv-magaza-icaresi-adv165166.html,metro Elmlər Akademiyası,,,6,2025-07-10,10 iyul 2025,,Bakı♦metro Elmlər Akademiyası,,1000,20.0,1 000 azn,commercial,,,2026-01-01T14:16:48.473394,agent,Vasitəçi(makler),Yasamal rayonu elmler metrosundan 6-7 dəqiqəlik piyada məs...,24,Elmlerde 50kv magaza icaresi,,,rent
165165,480,480.0,Ayrıca tikili,Kiraye / icare obyektler,Abşeron r.,AZN,https://qarabazar.az/Icareye-verilir-obyekt-xirdalan-AAAF-Park-adv165165.html,Xırdalan,,,13,2025-07-10,10 iyul 2025,,Abşeron r.♦Xırdalan,,9000,18.75,9 000 azn,commercial,,,2026-01-01T14:16:48.474519,agent,Vasitəçi(makler),"LUNEX ƏMLAK TƏQDİM EDİR!
İcarəyə Verilir – Təmirli Obyekt...",24,Icarəyə verilir obyekt xırdalan AAAF Park,,,rent
165163,,,,"Həyət evləri, Villa",Bakı,AZN,https://qarabazar.az/Bileceride-Kupcali-2-mertebe-5-otaqli-heyet-evi-adv165163.html,Biləcəri,,,11,2025-07-10,10 iyul 2025,,Bakı♦Biləcəri,Var,137000,,137 000 azn,house,5 otaq +,5,2026-01-01T14:16:48.475648,agent,Vasitəçi(makler),"Təcili... Biləcəridə Kupçalı DSK yolunda 91, 92, 170 N-li ...",24,Biləcəridə Kupçalı 2 mərtəbə 5 otaqlı həyət evi,,,other
165162,80,80.0,Bina altı,Kiraye / icare obyektler,Abşeron r.,AZN,https://qarabazar.az/Icareye-verilir-obyekt-Xirdalan-AAAF-Park-adv165162.html,Xırdalan,,,6,2025-07-10,10 iyul 2025,,Abşeron r.♦Xırdalan,,1100,13.75,1 100 azn,commercial,,,2026-01-01T14:16:48.476994,agent,Vasitəçi(makler),LUNEX ƏMLAK TƏQDİM EDİR!İcarəyə Verilir – Təmirli Obyekt |...,24,Icarəyə verilir obyekt Xırdalan AAAF Park,,,rent
